"FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","AcidIndex","STARS","TARGET"
5.4,0.86,0.27,10.7,0.092,23,398,0.98527,5.02,0.64,12.3,1,6,"0",1.24509435095841
12.4,0.385,0.76,19.7,1.169,37,68,0.99048,3.37,1.09,16,2,6,"2",4.05995198034027
7.2,1.75,0.17,33,0.065,9,76,1.04641,4.61,0.68,8.55,2,8,"1",2.47372310794271
6.2,0.1,1.8,1,0.179,104,89,0.98877,3.2,2.11,12.3,1,8,"1",2.24269463586605
11.4,0.21,0.28,1.2,0.038,70,53,1.02899,2.54,0.07,4.8,2,10,"0",0.898567468925557
17.6,0.04,1.15,1.4,0.535,250,140,0.95028,3.06,0.02,11.4,3,8,"4",5.48850994909072
15.5,0.53,0.53,4.6,1.263,10,17,1.0002,3.07,0.75,8.5,2,12,"3",3.27738365280117
15.9,1.19,1.14,31.9,0.299,115,381,1.03416,2.99,0.31,11.4,3,7,"0",1.96662373607447
11.6,0.32,0.55,50.9,0.076,35,83,1.0002,3.32,2.18,-0.5,2,12,"0",0.313011557658397
3.8,0.22,0.31,7.7,0.039,40,129,0.9061,4.72,0.64,10.9,2,7,"0",1.52591101530498
6.8,1.68,0.44,13.3,0.046,31,583,1.00833,3.28,1.64,12.6,2,8,"1",2.64555049217571
9,0.21,0.04,51.4,0.237,213,527,0.99516,3.16,0.7,14.7,3,10,"0",1.51740163401437
24.6,0.03,1.2,1.3,0.035,241,297,0.99232,2.22,0.5,9.8,2,9,"2",3.6296652902834
13,0.21,0.32,3.2,0.263,111,141,0.95918,3.2,0.53,4.2,2,8,"0",1.26150959421941
17.9,0.42,0.91,7.1,0.045,177,169,0.95307,3.17,1.12,13.2,1,9,"0",0.692949482703406
10,0.2,1.27,30.9,0.05,19,152,0.994,3.16,0.42,13.8,1,11,"2",2.72195263982723
7.4,0.29,0.5,8.5,0.48,178,647,0.97275,3.45,0.5,10.2,1,8,"1",2.30224812488655
11.7,1.18,0.94,62,0.675,7,393,0.99974,3.96,0.69,5.2,3,13,"0",0.553710050073375
9.7,0.41,1,11.3,0.235,24,113,0.99772,3.44,0.53,9.8,2,7,"2",3.90238425628782
5.2,0.98,0.08,6.4,0.046,180,166,0.994,3.3,2.18,9.9,3,5,"3",5.28604421320625
7.3,0.19,0.49,35.55,0.38,75,343,0.9998,3.42,0.36,13.3,0,8,"2",2.8654005368697
6.7,0.78,0.31,16.4,0.03,20,16,0.99834,3.11,0.57,9.1,2,7,"0",1.47150679000836
4.1,0.54,0.3,2.2,0.088,9,427,0.99725,3.98,2.06,11.4,4,8,"0",2.24910660303007
6.5,1.53,0.84,14.4,0.047,54,184,0.9461,3.17,0.56,9.2,1,7,"1",2.32348362441136
11.8,0.27,0.46,11.75,0.316,61,794,1.01959,2.2,0.07,5.4,2,7,"2",4.03422504496612
5,0.16,0.78,1.4,0.898,10,67,0.94608,2.5,0.41,9.4,4,7,"2",4.8055609079111
8.3,0.26,1.93,12.7,0.042,41,479,0.99869,3.1,1.66,12,1,9,"2",3.13454105293757
3.3,0.23,1.39,1.8,0.043,183,69,0.9933,3.38,0.31,10.8,3,6,"4",5.90034613972951
8.7,0.3,0.3,4.5,0.053,48.5,314,0.94736,2.73,2,10.3,2,8,"4",5.01849758537107
1.2,1.01,0.32,31.5,0.038,345,277,0.99074,4.29,1.02,9,1,7,"1",2.35008610373477
7,0.21,0.49,52.9,0.066,400,239,0.95914,1.99,1.19,10.8,2,8,"3",4.38221490842034
7.9,0.16,1.32,7.4,0.05,109,152,0.99612,3.12,1.28,3.8,3,8,"0",1.73516493368952
5.4,0.345,0.27,10.1,0.056,38,187,0.99486,2.14,0.12,14.4,2,7,"3",4.63964812540263
3.9,0.74,0.95,11.7,0.4,293,185,0.99266,3.28,2.01,16.4,2,7,"1",2.88612005750201
8,0.41,0.57,10.4,0.585,176,134,0.98409,3.12,0.35,10.7,1,9,"0",0.616474842118181
6.7,0.14,0.49,1.4,0.233,6,77,1.01696,2.92,0.42,10.8,2,7,"2",3.96092550853606
6.4,0.29,0.18,3,0.04,21,102,0.99736,4.39,1.42,9.2,3,7,"1",3.3206728725474
6.9,2.34,1.33,28.4,0.039,30,98,1.01251,4.64,0.46,9.2,1,7,"3",3.76524296304727
5.6,0.12,0.24,4.8,0.465,24,72,1.024,3.23,3.32,12.6,1,6,"0",1.20896476323577
7.9,0.42,1.2,1.6,0.582,201,205,0.95684,4.2,0.69,11.2,3,9,"0",1.52115184143478
6.8,1.19,0.98,1.2,0.034,6,68,1.02652,3.14,0.37,16.8,1,7,"1",2.44799431081841
1.2,0.3,0.21,27.85,0.539,33,153,0.99244,3.96,1.06,10,2,8,"0",1.25435367373137
8.4,0.725,0.11,1.9,0.296,35,63,0.9965,3.19,2.05,9.6,2,9,"0",0.998212724778433
8,1.2,0.26,12.6,0.351,98,213,0.97841,3.66,0.56,9.3,2,9,"0",0.989445487605516
6.8,1.36,0.3,20.7,0.043,263,339,1.03284,3.17,0.46,24.4,2,7,"1",3.03733457450738
14.3,0.32,0.25,2.3,0.013,13,349,0.9957,4.65,1.19,12.2,2,6,"2",4.16281458914328
6.6,0.82,0.24,23.8,0.048,55,347,0.97506,3.2,0.38,15.2,2,7,"1",2.98485680580505
4,0.16,0.27,44.4,0.607,227,98,1.03142,2.24,0.34,7.9,3,6,"2",4.57947899367608
28.3,0.645,0.03,7.9,0.086,195,39,0.9969,2.93,0.53,11.6,2,8,"3",4.29071284814708
4.7,0.98,0.35,24.7,0.235,11,9,0.9926,2.19,0.38,12.4,2,9,"1",2.46152247993133
5.8,0.21,0.25,50.5,0.038,33,135,0.96472,3.28,0.49,9.4,2,7,"2",3.95462536959673
8.9,0.33,0.5,61.55,0.038,234,138,0.96369,3.03,0.09,9.8,2,8,"0",1.36432455760761
10.6,1.02,0.61,1.1,0.422,25,107,0.9923,2.45,0.34,10.2,2,9,"3",4.01478324243312
10.9,1.2,1.22,27.9,0.12,207,17,1.0002,4.2,1.31,11.7,2,12,"0",0.346315160070737
8.8,0.2,0.59,92.4,0.053,167,214,1.026,2.9,0.79,8.8,0,9,"1",1.59985269964793
6.3,1.15,0.24,91.4,0.052,36,135,0.99374,2.52,1.13,12.6,0,7,"1",1.94067095144841
6.5,0.62,1.82,8,0.179,86,431,0.97319,2.68,0.47,7.4,4,7,"2",4.87079261073412
9.3,0.31,0.31,59.8,0.379,15,89,0.9976,2.48,0.57,6.3,3,8,"2",4.135373926286
0.3,0.87,0.8,69.5,0.54,170,83,0.98867,3.09,0.44,11.7,2,7,"0",1.45120360060052
6,0.25,0.28,37.7,0.468,37,132,0.99489,4.01,1.96,9.4,1,7,"0",0.970648736049941
9,0.35,1.5,51.9,0.252,282,24,0.9912,3.35,0.31,11.63333333,3,6,"2",4.59786909356963
8.7,0.31,0.27,5.6,0.331,91,49,0.96927,3.65,0.52,13.3,2,9,"0",1.11910877897168
0.1,0.32,0.37,1.8,0.286,13,184,0.9945,4.55,0.56,10.5,2,7,"1",2.87512244386785
6.6,0.24,0.35,13.7,0.031,36,135,0.9938,3.24,1.81,14.5,1,7,"1",2.49648116197057
7.2,0.21,1.15,25.4,0.043,186,213,0.98368,2.09,0.5,9.6,2,8,"1",2.78477267309527
7.4,1.14,0.62,6,0.022,40,125,0.9928,3.13,2.31,5.2,1,8,"1",2.05025423694707
10.6,0.34,0.35,67.1,0.657,229,179,0.998,2.87,2.56,8.3,2,7,"2",3.8111960101608
4.6,0.24,0.66,1.3,0.043,71,462,0.95428,3.19,1.32,14.7,3,8,"2",4.3152326412354
3.9,0.53,1.21,2,0.058,243,144,1.01599,3.21,0.86,12.4,0,8,"0",0.412464497137363
16,0.43,0.34,8.2,0.068,166,104,1.0247,3.19,2.03,9.3,2,7,"2",3.87457044175585
15.8,0.86,0.38,41,0.625,20,132,0.98895,3.28,0.07,12.4,2,6,"3",4.64807579259858
14.7,0.42,0.31,22.3,0.035,201,99,0.98914,3.26,1.28,18.7,3,7,"1",3.46888982598121
13.6,0.56,0.93,10,0.037,38,379,0.99642,4.53,0.35,15.7,1,7,"1",2.5208908648322
6.7,0.41,0.15,41.1,0.033,25,30,0.94975,3.05,0.4,0.1,3,7,"3",4.84877449424556
0.5,0.98,0.53,2.1,0.487,152,149,1.01881,2.19,0.8,6.3,1,9,"1",1.90097414474026
5.8,0.49,1.78,62.3,0.044,208,152,0.9961,3.31,2.01,9.4,2,6,"1",3.06852371487883
2.8,0.46,0.44,66,0.052,4,8,1.05282,3.33,1.67,6.9,0,11,"0",-0.327577358946435
12.5,0.43,1.78,3.6,0.045,7,45,0.96801,3.57,0.79,6.4,3,7,"2",4.31961412064272
7.4,0.18,0.29,52.2,0.171,260,366,0.96443,3.54,0.6,10.5,2,8,"4",5.04670874241467
7.1,0.49,1,46.7,0.033,16,78,0.993,2.91,2.33,5.4,2,8,"3",4.18905148517342
3,1.52,0.46,29.2,0.05,5,13,0.9974,4.32,0.79,10.2,2,11,"1",1.89381037421865
8.1,0.24,1.86,11,0.043,41,586,0.98863,2.7,1.38,10,4,9,"0",2.15567611070919
17.1,0.41,0.66,10.4,0.983,77,194,0.9976,3.05,0.46,8.7,1,8,"1",2.13910860893673
7.7,0.96,1.58,1.4,0.608,15,102,0.9929,3.26,0.53,10.4,1,8,"1",2.11433131520382
12.4,0.27,1.42,1.6,0.04,47,86,1.01383,2.82,0.22,7.8,2,7,"1",2.92388591069128
0.6,2.09,0.56,1.9,0.054,225,16,1.01003,2.97,0.63,9.6,2,8,"2",3.50932725638796
6.7,1.21,0.28,29,0.286,21,105,0.9949,3.27,0.37,8.6,2,8,"1",2.57050071938341
5.1,0.23,0.36,46.8,0.197,37,130,0.95194,5.1,0.43,10.1,2,7,"4",5.15077768090209
7.5,1.17,0.32,19.8,0.036,25,132,0.9962,2.06,2.12,14.2,3,8,"2",4.15127321553789
7.3,0.3,0.29,2.1,0.048,3,261,0.98956,5.01,1.36,12.6,2,7,"4",5.19166052579487
6.3,1.24,0.32,18.9,0.04,155,287,1.02361,3.24,2.18,11.3,1,7,"1",2.35358694614162
10.9,0.98,0.74,5.9,0.003,35,88,0.97137,2.88,0.46,8.4,2,7,"0",1.46639901838116
1.7,0.41,0.3,3.2,0.03,49,357,0.9927,4.44,0.39,11.7,2,7,"0",1.57414449107843
4,1.1,1.35,2.4,0.808,35,115,0.98936,3.19,0.44,18.8,1,8,"2",3.20666666132939
0.2,0.43,0.11,1.1,0.029,233,51,0.93069,2.57,0.48,15.5,1,6,"1",2.74171432760293
15.9,1.05,0.35,10.7,0.551,26,239,0.9984,3.6,1.67,9.1,1,9,"3",3.46303217040187
6.8,0.25,2.5,2.6,0.547,92,123,0.9951,3.03,2.71,8.6,2,7,"2",3.81844721615592
3.2,1.92,0.42,5.5,0.334,29,636,0.9973,3.42,1.31,10.5,2,8,"2",3.58835624953946
6.8,0.18,0.3,138.2,0.195,88,443,0.99808,3.6,0.8,3.6,0,7,"2",2.97120186726803
17.5,0.34,1.05,3.7,0.174,6,12,0.997,3.19,0.7,12.1,3,11,"0",1.17079469002398
7.2,1.74,0.92,41.4,0.787,46,121,1.00183,3.44,0.61,17.3,2,7,"1",2.75919553306798
9.5,0.88,1.43,6.4,0.057,25,86,0.97526,4.27,0.45,10.5,1,7,"1",2.36467099517559
12.7,0.25,0.32,50.1,0.515,211,102,0.97956,3.41,0.79,6.1,2,7,"2",3.83160761480889
